W;L;opt;n
150;175;26100;35
wi;li;bi;
78;44;2;244
64;70;2;268
52;70;3;244
79;100;1;358
66;60;1;252
81;39;2;240
91;94;1;370
66;56;4;244
91;50;2;282
96;68;1;328
40;112;3;304
76;106;1;364
63;35;8;196
86;60;2;292
93;84;1;354
95;92;1;374
70;57;1;254
66;71;1;274
84;78;1;324
51;67;4;236
34;89;2;246
77;87;2;328
44;66;4;220
76;76;2;304
50;45;1;190
36;66;4;204
38;66;4;208
75;39;6;228
77;103;1;360
50;45;8;190
80;107;1;374
61;54;5;230
31;95;2;252
39;67;5;212
63;102;1;330
;;2,571428571;276,5142857
;;0,762096828;0,21427071
