W;L;opt;n
587;756;432714;35
wi;li;bi;
364;423;1;1574
380;157;4;1074
321;200;1;1042
229;155;8;768
320;368;1;1376
224;397;2;1242
329;474;1;1606
150;421;2;1142
158;338;2;992
369;284;2;1306
334;419;1;1506
343;436;1;1558
297;229;1;1052
344;314;2;1316
177;378;6;1110
170;164;2;668
295;326;1;1242
228;392;2;1240
239;426;1;1330
342;310;2;1304
276;252;5;1056
214;408;1;1244
159;284;3;886
350;178;3;1056
346;326;1;1344
226;478;2;1408
201;289;1;980
292;235;3;1054
350;451;1;1602
164;271;4;870
351;379;1;1460
329;309;1;1276
120;217;5;674
344;163;3;1014
222;466;1;1376
;;2,228571429;1192,8
;;0,75466988;0,211416361
