W;L;opt;n
440;881;387276;43
wi;li;bi;
158;73;6;462
100;179;9;558
150;227;4;754
83;181;8;528
68;298;5;732
23;107;4;260
41;174;2;430
101;236;6;674
70;78;2;296
89;104;2;386
28;279;5;614
89;249;3;676
55;236;2;582
129;287;3;832
136;236;2;744
171;117;2;576
74;309;6;766
60;230;6;580
26;92;9;236
28;217;1;490
55;284;6;678
64;82;3;292
89;129;7;436
154;54;9;416
126;172;9;596
146;138;4;568
79;133;8;424
29;304;2;666
174;200;8;748
148;115;3;526
60;207;8;534
135;231;9;732
171;82;8;506
82;263;8;690
109;340;8;898
131;350;6;962
40;135;4;350
146;328;1;948
38;297;7;670
106;149;8;510
138;235;5;746
128;51;1;358
175;119;3;588
;;5,162790698;581,8139535
;;0,517547769;0,308799982
