W;L;opt;n
356;447;158572;45
wi;li;bi;
111;225;3;672
162;210;1;744
144;98;5;484
107;115;7;444
126;96;7;444
227;210;2;874
132;104;2;472
227;268;1;990
152;122;3;548
166;185;1;702
196;156;1;704
224;192;1;832
136;244;2;760
155;252;1;814
211;172;2;766
169;186;3;710
172;210;4;764
196;255;1;902
193;137;1;660
171;112;2;566
117;110;4;454
195;285;1;960
92;169;6;522
82;206;5;576
211;98;3;618
109;127;5;472
175;227;1;804
160;140;3;600
220;250;1;940
125;92;4;434
102;121;5;446
129;239;2;736
113;157;1;540
178;162;4;680
133;169;1;604
182;99;2;562
150;220;1;740
116;128;6;488
172;144;2;632
146;172;1;636
148;128;4;552
189;96;4;570
82;269;3;702
182;177;1;718
95;146;4;482
;;2,755555556;651,5555556
;;0,652655339;0,232797062
