W;L;opt;n
977;953;924696;50
wi;li;bi;
121;354;3;950
254;321;2;1150
261;308;4;1138
451;187;3;1276
124;237;7;722
351;402;3;1506
351;165;3;1032
185;201;4;772
319;201;1;1040
261;308;4;1138
451;187;3;1276
219;315;4;1068
386;304;3;1380
183;329;2;1024
212;214;5;852
354;254;3;1216
250;149;4;798
222;537;3;1518
309;227;3;1072
273;209;4;964
325;206;2;1062
344;421;4;1530
380;497;2;1754
301;228;2;1058
261;409;2;1340
194;206;3;800
175;300;2;950
256;244;4;1000
183;342;2;1050
282;231;1;1026
326;147;2;946
268;237;2;1010
384;362;2;1492
248;363;1;1222
295;368;3;1326
315;408;2;1446
411;246;3;1314
189;576;3;1530
261;314;3;1150
181;382;2;1126
256;367;1;1246
315;464;3;1558
186;561;2;1494
167;354;2;1042
500;267;2;1534
313;471;1;1568
492;321;2;1626
251;260;3;1022
282;364;1;1292
429;264;2;1386
198;254;1;904
350;241;3;1182
;;2,653846154;1189,961538
;;0,434365624;0,21018782
