W;L;opt;n
794;985;773772;40
wi;li;bi;
124;237;7;722
185;201;4;772
319;201;1;1040
219;315;5;1068
386;304;5;1380
183;329;6;1024
250;149;4;798
222;537;3;1518
309;227;3;1072
273;209;4;964
325;206;2;1062
344;421;4;1530
380;497;2;1754
301;228;4;1058
261;409;1;1340
194;206;3;800
175;300;6;950
256;244;1;1000
183;342;2;1050
282;231;4;1026
326;147;4;946
268;237;2;1010
384;362;1;1492
248;363;3;1222
295;368;1;1326
315;408;2;1446
411;246;3;1314
189;576;3;1530
261;314;3;1150
181;382;7;1126
256;367;5;1246
315;464;3;1558
186;561;2;1494
167;354;3;1042
500;267;2;1534
313;471;1;1568
492;321;2;1626
251;260;7;1022
282;364;1;1292
429;264;3;1386
;;3,225;1206,45
;;0,541584011;0,221244732
