W;L;opt;n
538;501;268750;33
wi;li;bi;
178;131;9;618
47;48;3;190
108;177;6;570
133;142;9;550
111;167;5;556
122;56;6;356
100;55;5;310
152;150;8;604
124;70;1;388
213;70;7;566
169;186;6;710
214;156;3;740
95;143;3;476
154;74;9;456
60;189;8;498
47;89;6;272
116;93;2;418
141;96;8;474
122;105;1;454
132;62;6;388
139;189;6;656
190;144;6;668
200;153;6;706
214;133;4;694
189;148;4;674
158;137;5;590
33;145;2;356
81;67;1;296
197;122;1;638
147;192;4;678
35;116;3;302
154;142;7;592
28;103;3;262
;;4,939393939;506,2424242
;;0,500893101;0,306512977
