W;L;opt;n
134;125;16679;45
wi;li;bi;
45;72;1;234
64;43;4;214
67;49;3;232
40;46;2;172
79;69;1;296
55;25;8;160
46;64;2;220
34;45;2;158
30;35;8;130
63;73;1;272
27;41;9;136
50;35;6;170
58;61;3;238
45;27;4;144
33;74;1;214
73;39;3;224
48;49;4;194
80;52;1;264
72;37;3;218
37;41;7;156
81;74;1;310
52;57;4;218
54;33;2;174
27;38;6;130
42;27;6;138
58;65;2;246
41;30;5;142
53;73;2;252
60;78;1;276
45;41;3;172
73;65;1;276
40;44;4;168
34;27;9;122
57;48;3;210
76;41;2;234
33;27;5;120
70;57;1;254
68;46;2;228
31;60;5;182
43;62;6;210
43;54;4;194
80;42;1;244
70;26;2;192
66;71;2;274
36;59;6;190
;;3,511111111;204,4888889
;;0,664125291;0,245533816
